,id,Name,Team,Pos,Pos Rk,FF Pt,G,P Att,Comp,P Yds,P TD,INT,Sk,Carry,Ru Yds,Ru TD,Targ,Rec,Re Yd,Re TD,Car%,Targ%,SCK,FR,TD,PA,YA
124,RB85,Roschon Johnson,CHI,RB,85,42.0,14.0,,,,,,,57.0,239.0,2.0,5.0,4.0,27.0,0.0,12%,1%,,,,,
125,RB86,Chris Rodriguez,WAS,RB,86,41.0,14.0,,,,,,,32.0,133.0,1.0,17.0,13.0,89.0,0.0,8%,3%,,,,,
126,RB87,Dare Ogunbowale,HST,RB,87,39.0,14.0,,,,,,,30.0,121.0,1.0,16.0,11.0,83.0,0.0,7%,3%,,,,,
127,RB88,Brandon Bolden,LV,RB,88,39.0,14.0,,,,,,,32.0,137.0,1.0,11.0,9.0,69.0,0.0,8%,2%,,,,,
128,RB89,Alec Ingold,MIA,RB,89,39.0,17.0,,,,,,,4.0,17.0,0.0,23.0,18.0,129.0,1.0,1%,4%,,,,,
129,RB90,Latavius Murray,BUF,RB,90,38.0,14.0,,,,,,,35.0,148.0,1.0,11.0,9.0,57.0,0.0,9%,2%,,,,,
130,RB91,Zack Moss,IND,RB,91,36.0,12.0,,,,,,,30.0,131.0,1.0,13.0,9.0,67.0,0.0,6%,3%,,,,,
131,RB92,Zach Evans,LAR,RB,92,36.0,14.0,,,,,,,37.0,153.0,1.0,9.0,7.0,52.0,0.0,10%,1%,,,,,
132,RB93,JaMycal Hasty,JAX,RB,93,35.0,14.0,,,,,,,25.0,107.0,1.0,14.0,11.0,71.0,0.0,6%,2%,,,,,
133,RB94,John Kelly,CLV,RB,94,35.0,14.0,,,,,,,33.0,140.0,1.0,10.0,8.0,58.0,0.0,7%,2%,,,,,
134,RB95,Chris Evans,CIN,RB,95,35.0,14.0,,,,,,,27.0,115.0,1.0,12.0,9.0,67.0,0.0,7%,2%,,,,,
135,RB96,DeeJay Dallas,SEA,RB,96,32.0,14.0,,,,,,,28.0,124.0,1.0,8.0,7.0,44.0,0.0,7%,2%,,,,,
136,RB97,DeWayne McBride,MIN,RB,97,31.0,14.0,,,,,,,35.0,145.0,1.0,6.0,5.0,33.0,0.0,9%,1%,,,,,
137,RB98,Melvin Gordon,BLT,RB,98,30.0,14.0,,,,,,,29.0,117.0,1.0,7.0,6.0,37.0,0.0,6%,1%,,,,,
138,RB99,Anthony McFarland Jr.,PIT,RB,99,29.0,13.0,,,,,,,30.0,128.0,1.0,8.0,6.0,43.0,0.0,7%,1%,,,,,
139,RB100,Evan Hull,IND,RB,100,29.0,14.0,,,,,,,25.0,107.0,1.0,10.0,7.0,55.0,0.0,5%,2%,,,,,
140,RB101,Sean Tucker,TB,RB,101,29.0,13.0,,,,,,,35.0,147.0,1.0,5.0,4.0,30.0,0.0,8%,1%,,,,,
141,RB102,Kyle Juszczyk,SF,RB,102,28.0,17.0,,,,,,,5.0,21.0,0.0,15.0,11.0,91.0,1.0,1%,3%,,,,,
142,RB103,Patrick Taylor,GB,RB,103,28.0,13.0,,,,,,,29.0,125.0,1.0,8.0,6.0,42.0,0.0,7%,1%,,,,,
143,RB104,Tyrion Davis-Price,SF,RB,104,28.0,14.0,,,,,,,33.0,140.0,1.0,5.0,3.0,25.0,0.0,7%,1%,,,,,
144,RB105,Michael Carter,NYJ,RB,105,27.0,14.0,,,,,,,20.0,77.0,0.0,11.0,9.0,61.0,0.0,5%,2%,,,,,
145,RB106,Boston Scott,PHI,RB,106,25.0,14.0,,,,,,,24.0,100.0,1.0,5.0,4.0,26.0,0.0,5%,1%,,,,,
146,RB107,Mohamed Ibrahim,DET,RB,107,24.0,13.0,,,,,,,17.0,72.0,1.0,8.0,6.0,46.0,0.0,4%,1%,,,,,
147,RB108,Justice Hill,BLT,RB,108,23.0,14.0,,,,,,,14.0,61.0,0.0,10.0,8.0,51.0,0.0,3%,2%,,,,,
148,RB109,C.J. Ham,MIN,RB,109,22.0,17.0,,,,,,,4.0,17.0,0.0,12.0,9.0,70.0,0.0,1%,2%,,,,,
149,RB110,Julius Chestnut,TEN,RB,110,22.0,14.0,,,,,,,9.0,39.0,0.0,10.0,8.0,57.0,0.0,2%,2%,,,,,
150,RB111,Ty'Son Williams,ARZ,RB,111,21.0,13.0,,,,,,,21.0,91.0,1.0,5.0,4.0,29.0,0.0,5%,1%,,,,,
151,RB112,Mike Boone,HST,RB,112,21.0,13.0,,,,,,,20.0,92.0,1.0,5.0,4.0,30.0,0.0,5%,1%,,,,,
152,RB113,Kirk Merritt,NO,RB,113,21.0,14.0,,,,,,,9.0,39.0,0.0,10.0,7.0,58.0,0.0,2%,2%,,,,,
153,RB114,Kevin Harris,NE,RB,114,19.0,13.0,,,,,,,20.0,82.0,1.0,5.0,4.0,30.0,0.0,5%,1%,,,,,
154,RB115,Deneric Prince,KC,RB,115,19.0,14.0,,,,,,,14.0,57.0,1.0,6.0,5.0,33.0,0.0,4%,1%,,,,,
155,RB116,Zonovan Knight,NYJ,RB,116,19.0,14.0,,,,,,,24.0,97.0,1.0,4.0,3.0,21.0,0.0,6%,1%,,,,,
156,RB117,Larry Rountree III,LAC,RB,117,19.0,13.0,,,,,,,16.0,65.0,1.0,6.0,4.0,31.0,0.0,4%,1%,,,,,
157,RB118,Patrick Ricard,BLT,RB,118,18.0,17.0,,,,,,,5.0,20.0,0.0,10.0,8.0,52.0,0.0,1%,2%,,,,,
158,RB119,Andrew Beck,HST,RB,119,17.0,17.0,,,,,,,0.0,0.0,0.0,11.0,8.0,64.0,0.0,0%,2%,,,,,
159,RB120,Jordan Mason,SF,RB,120,16.0,13.0,,,,,,,14.0,60.0,0.0,5.0,4.0,26.0,0.0,3%,1%,,,,,
